w-full src,font-bold,text-sm,mx-2,hidden,text-sm href,text-sm (2),text-sm (3),text-red-500,text-lg
https://media-cdn.factba.se/realdonaldtrump-twitter/692794133124116480.jpg,Donald Trump,@realDonaldTrump,•,"January 28, 2016 @ 2:39 PM ET",https://x.com/realdonaldtrump/status/692794133124116480,View on X,"20 Most Anticipated Hotel Openings of 2016: Trump International Hotel, Washington D.C. http://www.forbes.com/sites/forbestravelguide/2016/01/28/20-most-anticipated-hotel-openings-of-2016/#36c1736268da …",,
https://media-cdn.factba.se/realdonaldtrump-twitter/692766854453006336.jpg,Donald Trump,@realDonaldTrump,•,"January 28, 2016 @ 12:51 PM ET",https://x.com/realdonaldtrump/status/692766854453006336,View on X,"Tennessee GOP Poll
 http://www.MTSUPoll.org 
Trump 32.7%
Cruz 16.5%
Carson 6.6%
Rubio 5.3%
Christie 2.4%
Jeb 1.6%",,
https://media-cdn.factba.se/realdonaldtrump-twitter/692762083822301186.jpg,Donald Trump,@realDonaldTrump,•,"January 28, 2016 @ 12:32 PM ET",https://x.com/realdonaldtrump/status/692762083822301186,View on X,"It is my great honor to support our Veterans with you! You can join me now. Thank you! #Trump4Vets
 http://www.DonaldTrumpForVets.com",,
https://media-cdn.factba.se/realdonaldtrump-twitter/692736397120245760.jpg,Donald Trump,@realDonaldTrump,•,"January 28, 2016 @ 10:50 AM ET",https://x.com/realdonaldtrump/status/692736397120245760,View on X,"#Trump2016 #IACaucus Finder:
 https://www.donaldjtrump.com/iowa/caucus-finder/ … pic.twitter.com/1vjCHYYlzU",,
https://media-cdn.factba.se/realdonaldtrump-twitter/692735015428431872.jpg,Donald Trump,@realDonaldTrump,•,"January 28, 2016 @ 10:44 AM ET",https://x.com/realdonaldtrump/status/692735015428431872,View on X,Being politically correct takes too much time. We have too much to get done! #Trump2016 https://www.facebook.com/DonaldTrump/videos/10156578576285725/ … pic.twitter.com/fkgkcVxVo7,,
https://media-cdn.factba.se/realdonaldtrump-twitter/692724677945483264.jpg,Donald Trump,@realDonaldTrump,•,"January 28, 2016 @ 10:03 AM ET",https://x.com/realdonaldtrump/status/692724677945483264,View on X,“What America Needs: The Case for Trump” Great new book by the esteemed Jeffrey Lord @JeffJlpa1 Available now. http://www.amazon.com/s/ref=nb_sb_ss_i_2_13?url=search-alias%3Dstripbooks&field-keywords=jeffrey+lord+what+america+needs&sprefix=Jeffrey+Lord+%2Cstripbooks%2C164 …,,
https://media-cdn.factba.se/realdonaldtrump-twitter/692708773400449024.jpg,Donald Trump,@realDonaldTrump,•,"January 28, 2016 @ 9:00 AM ET",https://x.com/realdonaldtrump/status/692708773400449024,View on X,"""@GmoneyRainmaker: I hope @CNN has enough bandwidth tonight because not many will be watching @FoxNews. Watching Trump tonight #GOPDebate""",,
https://media-cdn.factba.se/realdonaldtrump-twitter/692701271405563904.jpg,Donald Trump,@realDonaldTrump,•,"January 28, 2016 @ 8:30 AM ET",https://x.com/realdonaldtrump/status/692701271405563904,View on X,"""@rkirchmeyer: So @megynkelly brings in #MichaelMoore to add credibility in her fight with @realDonaldTrump? #FoxNews #ROGERAILES""",,
https://media-cdn.factba.se/realdonaldtrump-twitter/692701142803939329.jpg,Donald Trump,@realDonaldTrump,•,"January 28, 2016 @ 8:29 AM ET",https://x.com/realdonaldtrump/status/692701142803939329,View on X,"""@BradCross4: @Drudge_Report_ @realDonaldTrump https://twitter.com/BradCross4/status/692700333462519809/photo/1 pic.twitter.com/Ur1qgG291Z """,,
https://media-cdn.factba.se/realdonaldtrump-twitter/692700474278055936.jpg,Donald Trump,@realDonaldTrump,•,"January 28, 2016 @ 8:27 AM ET",https://x.com/realdonaldtrump/status/692700474278055936,View on X,"""@chgardens1: @mitchellvii Pathetic attempt to bribe @realDonaldTrump He can't be bought""",,
https://media-cdn.factba.se/realdonaldtrump-twitter/692698645863518208.jpg,Donald Trump,@realDonaldTrump,•,"January 28, 2016 @ 8:20 AM ET",https://x.com/realdonaldtrump/status/692698645863518208,View on X,"The ""debate"" tonight will be a total disaster - low ratings with advertisers and advertising rates dropping like a rock. I hate to see this.",,
https://media-cdn.factba.se/realdonaldtrump-twitter/692695601419567104.jpg,Donald Trump,@realDonaldTrump,•,"January 28, 2016 @ 8:07 AM ET",https://x.com/realdonaldtrump/status/692695601419567104,View on X,"""@laurencristmann: @realDonaldTrump why do they have so many debates this year?? Also, why is Cruz still allowed to run, he's not eligible""",,
https://media-cdn.factba.se/realdonaldtrump-twitter/692681024489263104.jpg,Donald Trump,@realDonaldTrump,•,"January 28, 2016 @ 7:10 AM ET",https://x.com/realdonaldtrump/status/692681024489263104,View on X,"""@hollywoodJV: @realDonaldTrump Mr. Trump, why does Cruz hate Canada so much. He should embrace his roots, it's a great country"" So true!",,
https://media-cdn.factba.se/realdonaldtrump-twitter/692677570282786816.jpg,Donald Trump,@realDonaldTrump,•,"January 28, 2016 @ 6:56 AM ET",https://x.com/realdonaldtrump/status/692677570282786816,View on X,"Wow, two candidates called last night and said they want to go to my event tonight at Drake University.",,
https://media-cdn.factba.se/realdonaldtrump-twitter/692675094242578432.jpg,Donald Trump,@realDonaldTrump,•,"January 28, 2016 @ 6:46 AM ET",https://x.com/realdonaldtrump/status/692675094242578432,View on X,"""@michaelG4NY: new @nbcnews WSJ poll shows @realDonaldTrump pulling ahead of @tedcruz in #Iowa. http://www.nbcnews.com/meet-the-press/trump-strong-three-early-states-clinton-sanders-battle-poll-n505516 …"" Great!",,
